"","QKEY","INTERVIEW_START_W70","INTERVIEW_END_W70","DEVICE_TYPE_W70","LANG_W70","XATTEND_W70","FORM_W70","SPIRIT1_a_W70","SPIRIT1_b_W70","SPIRIT1_c_W70","SPIRIT1_d_W70","SPIRIT2_a_W70","SPIRIT2_b_W70","SPIRIT2_c_W70","SPIRIT2_d_W70","COVIDRF_W70","COVIDVOL1_a_W70","COVIDVOL1_b_W70","COVIDVOL1_c_W70","COVIDVOL2_a_W70","COVIDVOL2_b_W70","COVIDVOL2_c_W70","BRAND1_W70","BRAND2_W70","BRAND3_a_W70","BRAND3_b_W70","ATTENDMONTH_W70","ATTENDONLINE_W70","ATTENDFUT1_W70","ATTENDFUT2_W70","COVIDCONG2_W70","COVIDCONG3_W70","COVIDCONG4_W70","CONGRESTRICT1_a_W70","CONGRESTRICT1_b_W70","CONGRESTRICT1_c_W70","CONGRESTRICT1_d_W70","CONGRESTRICT2_a_W70","CONGRESTRICT2_b_W70","CONGRESTRICT2_c_W70","CONGRESTRICT2_d_W70","ATTENDCONF_W70","CONGDONATE_W70","ONLINESATIS_W70","ONLINEOTH_W70","ONLINESERV_W70","SERMONISSUE_a_W70","SERMONISSUE_b_W70","SERMONISSUE_c_W70","SERMONISSUE_d_W70","SERMONISSUE_e_W70","SERMONISSUE_f_W70","SERMONISSUE_g_W70","SERMONTRUMP_W70","SERMONBIDEN_W70","COVIDLESSON1_W70","COVIDLESSON2_W70","COVIDTHREAT_a_W70","COVIDTHREAT_b_W70","COVIDTHREAT_c_W70","COVIDTHREAT_d_W70","SNSUSE_W70","CONTACTTRAC1_W70","CONTACTTRAC2_W70","CONTACTPHONEF1_W70","CONTACTHOMEF2_W70","CTKNOW1_W70","SECUR1_W70","SHAREINFO1_a_W70","SHAREINFO1_b_W70","SHAREINFO1_c_W70","HEALTHRECF1_W70","WHYNOTQUARF1_a_W70","WHYNOTQUARF1_b_W70","WHYNOTQUARF1_c_W70","WHYNOTQUARF1_d_W70","WHYNOTQUARF1_e_W70","HEALTHRECF2_W70","WHYDIFFICULTF2_a_W70","WHYDIFFICULTF2_b_W70","WHYDIFFICULTF2_c_W70","WHYDIFFICULTF2_d_W70","WHYDIFFICULTF2_e_W70","RECSAFE_a_W70","RECSAFE_b_W70","RECSAFE_c_W70","RECSAFE_d_W70","RECSAFE_e_W70","CVDATAACCEPT_a_W70","CVDATAACCEPT_b_W70","CVDATAACCEPT_c_W70","CVDATAACCEPT_d_W70","SOCIALPOL_W70","SNSRATE_W70","CHOICE1_W70","QCHANGE1_W70","SOCEFF1_a_W70","SOCEFF1_b_W70","SOCEFF1_c_W70","SOCEFF1_d_W70","SOCEFF1_e_W70","ELECTFTGSNSINT_W70","TALKDISASNSINT_W70","TALKCMNSNSINT_W70","SM9_a_W70","SM9_b_W70","SM9_c_W70","SM9_d_W70","SM9_e_W70","PARTY_W70","PARTYLN_W70","PARTYSTR_W70","F_METRO","F_CREGION","F_CDIVISION","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_RACECMB","F_RACETHNMOD","F_CITIZEN","F_NATIVITY2","F_MARITAL","F_RELIG","F_BORN","F_RELTRAD","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_IDEO","F_ACSWEB","F_VOLSUM","F_HISP_ORIGIN","F_YEARSINUS","F_PARTYSUMIDEO","WEIGHT_W70"
"1",100197,2020-07-14 16:18:34,2020-07-14 16:51:21,3,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,2,2,2,3,1,3,3,1,1,3,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,4,4,1,1,1,1,1,2,1,2,1,3,NA,99,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,2,2,3,4,4,1,99,2,2,2,3,2,4,2,2,2,2,2,3,2,2,2,2,NA,1,1,2,4,4,2,2,3,2,1,1,1,1,3,2,2,10000,1,2,NA,2,3,3,1,3,1,1,6,1,3,0.373374744306667
"2",100260,2020-07-15 23:14:39,2020-07-15 23:30:09,3,1,2,2,5,5,1,1,1,5,3,1,1,2,2,1,2,2,2,3,1,2,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,2,2,NA,3,2,2,2,2,3,NA,2,1,NA,1,1,1,1,1,NA,NA,NA,1,1,4,1,1,1,NA,1,1,4,9,4,1,1,5,2,1,1,1,1,6,12,NA,1e+05,5,1,NA,1,6,2,1,1,1,2,6,1,1,0.647694725635963
"3",100314,2020-07-17 01:05:16,2020-07-17 01:41:39,2,1,2,2,5,5,1,1,1,3,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,1,NA,1,2,3,1,1,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,NA,3,1,2,2,2,4,NA,2,2,NA,3,3,3,2,3,NA,NA,NA,3,1,3,3,1,1,NA,1,2,2,3,4,1,2,3,2,1,1,1,1,2,1,2,1200,5,1,NA,1,4,2,1,3,1,1,6,1,2,0.528258811002858
"4",100363,2020-07-14 22:02:03,2020-07-14 22:14:40,2,1,2,1,5,5,1,1,2,5,2,1,1,1,2,1,2,2,2,4,1,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,2,2,1,2,2,2,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,2,1,4,2,3,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,2,2,2,NA,2,1,1,2,2,2,1,6,2,1,1,1,1,1,2,2,10000,4,2,NA,2,9,1,1,3,1,1,6,1,3,0.460576160254618
"5",100446,2020-07-14 16:36:07,2020-07-14 16:43:46,1,1,2,2,5,5,1,1,4,5,1,1,1,1,2,1,1,2,2,2,1,2,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,NA,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,2,NA,3,2,2,3,4,3,NA,3,2,NA,3,2,2,3,2,NA,NA,NA,2,3,2,2,3,2,NA,1,1,1,1,3,2,1,6,2,3,5,1,1,6,11,NA,90001,5,2,NA,2,8,1,1,4,1,1,6,1,4,0.268703264705198
"6",100598,2020-07-14 22:06:31,2020-07-14 22:19:52,1,1,2,2,5,5,1,1,2,5,4,1,1,2,2,2,2,2,2,3,1,2,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,2,1,2,1,2,2,4,4,1,2,1,2,1,2,2,2,1,NA,2,1,2,1,2,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,2,NA,2,2,3,4,4,3,NA,3,2,NA,2,2,1,2,1,NA,NA,NA,2,3,2,2,2,1,NA,1,1,4,9,3,2,1,6,2,1,1,1,1,1,1,1,1100,4,1,NA,1,9,1,1,3,1,1,6,1,2,0.56844979685693
"7",100637,2020-07-15 01:32:53,2020-07-15 02:06:41,1,1,1,1,5,5,1,2,1,2,3,2,2,2,2,2,2,2,2,4,1,4,1,1,2,3,NA,1,2,2,1,2,2,2,2,2,2,2,1,3,NA,NA,NA,2,2,1,2,2,1,2,4,4,1,2,2,3,2,3,1,3,1,3,NA,2,3,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,3,4,4,4,3,2,1,2,2,2,2,4,2,2,2,2,2,1,2,2,1,3,1,NA,1,3,5,3,2,2,4,2,1,1,1,1,1,1,1,1100,3,3,1,1,4,2,1,2,1,2,6,1,1,0.70046154777948
"8",100803,2020-07-16 14:31:07,2020-07-16 14:42:43,1,1,1,1,1,5,1,1,1,2,3,1,1,1,1,1,2,2,2,2,2,NA,NA,2,1,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,1,2,1,1,2,1,1,2,4,4,1,1,1,3,1,3,1,2,2,4,NA,3,2,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,1,3,4,4,4,4,2,2,2,4,2,3,2,2,2,99,99,2,2,2,4,2,1,NA,2,2,2,4,3,2,1,5,2,1,1,1,1,1,1,1,1100,2,1,NA,1,9,1,1,2,1,1,6,1,1,0.425536666096271
"9",101437,2020-07-14 20:46:50,2020-07-14 21:02:45,1,1,1,2,1,5,1,5,1,1,2,5,2,2,1,2,2,2,2,4,1,4,1,1,2,3,NA,2,2,1,2,2,2,2,NA,NA,NA,NA,1,3,NA,NA,NA,2,2,2,2,2,2,2,4,4,1,1,3,3,2,3,1,2,1,NA,4,1,3,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,2,4,2,2,4,4,4,4,1,3,1,2,3,2,2,2,1,3,1,2,3,3,2,4,2,1,NA,1,2,2,4,3,2,2,3,2,1,1,1,1,3,1,1,1100,2,1,NA,1,2,3,1,2,1,2,6,1,1,0.777830677585706
"10",101472,2020-07-15 01:20:19,2020-07-15 01:28:19,2,1,2,1,4,5,1,3,4,5,2,1,1,2,2,2,2,2,2,3,1,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,1,2,2,1,NA,2,3,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,3,2,3,2,2,2,3,1,2,3,2,2,3,2,3,2,1,3,1,2,3,2,3,2,NA,1,3,7,2,1,1,6,2,1,1,1,1,1,2,2,10000,5,3,2,2,7,1,3,3,2,2,6,1,3,3.38024740025557
